Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.49,-.22,-.28,-.04,-.14,-.16,-.24,-.21,-.30,-.42,-.39,-.27,***,***,-.18,-.18,-.31
1881,-.30,-.21,-.02,.02,.06,-.31,.10,-.02,-.24,-.41,-.35,-.21,-.16,-.17,-.30,.02,-.08,-.33
1882,.29,.24,.04,-.29,-.23,-.27,-.25,-.12,-.22,-.50,-.31,-.66,-.19,-.15,.10,-.16,-.21,-.34
1883,-.55,-.64,-.13,-.27,-.22,-.10,-.01,-.19,-.29,-.14,-.40,-.14,-.26,-.30,-.62,-.21,-.10,-.28
1884,-.15,-.08,-.61,-.58,-.36,-.41,-.41,-.47,-.43,-.43,-.56,-.46,-.41,-.39,-.12,-.51,-.43,-.47
1885,-.99,-.43,-.21,-.47,-.56,-.42,-.31,-.38,-.37,-.34,-.36,-.09,-.41,-.44,-.63,-.41,-.37,-.36
1886,-.72,-.81,-.69,-.35,-.31,-.35,-.12,-.40,-.30,-.29,-.37,-.19,-.41,-.40,-.54,-.45,-.29,-.32
1887,-1.05,-.67,-.41,-.35,-.22,-.17,-.21,-.51,-.18,-.46,-.25,-.41,-.41,-.39,-.64,-.33,-.30,-.30
1888,-.46,-.58,-.61,-.19,-.13,-.01,.03,-.18,-.17,-.01,.02,-.21,-.21,-.22,-.48,-.31,-.05,-.05
1889,-.24,.33,.00,.18,-.02,-.05,-.06,-.18,-.28,-.40,-.59,-.53,-.15,-.13,-.04,.05,-.10,-.42
1890,-.62,-.57,-.46,-.23,-.34,-.14,-.22,-.38,-.33,-.08,-.62,-.45,-.37,-.37,-.57,-.34,-.24,-.34
1891,-.45,-.67,-.14,-.34,-.14,-.11,-.10,-.11,-.06,-.26,-.51,-.02,-.24,-.28,-.52,-.21,-.11,-.28
1892,-.48,-.14,-.65,-.43,-.22,-.04,-.36,-.32,-.18,-.27,-.81,-.64,-.38,-.33,-.21,-.43,-.24,-.42
1893,-1.50,-.95,-.31,-.28,-.42,-.18,-.13,-.32,-.28,-.27,-.33,-.60,-.46,-.47,-1.03,-.34,-.21,-.29
1894,-.90,-.40,-.19,-.52,-.24,-.39,-.19,-.26,-.32,-.26,-.46,-.34,-.37,-.40,-.63,-.32,-.28,-.35
1895,-.68,-.79,-.47,-.16,-.28,-.18,-.16,-.25,-.04,-.07,-.11,-.20,-.28,-.29,-.60,-.30,-.20,-.07
1896,-.34,-.16,-.47,-.58,-.15,.09,.02,-.10,-.11,.07,-.19,-.20,-.18,-.18,-.23,-.40,.01,-.08
1897,-.38,-.40,-.38,-.03,.15,-.04,.06,-.05,-.05,-.13,-.25,-.26,-.15,-.14,-.33,-.09,-.01,-.14
1898,.08,-.41,-.77,-.25,-.25,-.05,-.09,-.15,-.15,-.35,-.49,-.24,-.26,-.26,-.19,-.42,-.10,-.33
1899,-.11,-.63,-.57,-.22,-.23,-.34,-.15,-.05,-.03,.06,.38,-.44,-.20,-.18,-.33,-.34,-.18,.13
1900,-.59,-.12,.07,-.08,-.02,-.08,-.10,-.07,-.01,.25,-.11,-.01,-.07,-.11,-.39,-.01,-.08,.04
1901,-.33,-.09,.28,.12,-.10,.02,.03,-.15,-.26,-.30,-.22,-.40,-.12,-.08,-.14,.10,-.03,-.26
1902,-.16,.01,-.39,-.38,-.39,-.36,-.33,-.28,-.33,-.29,-.44,-.59,-.33,-.31,-.18,-.39,-.32,-.36
1903,-.21,.13,-.14,-.45,-.42,-.44,-.43,-.54,-.49,-.49,-.42,-.56,-.37,-.37,-.22,-.33,-.47,-.46
1904,-.76,-.59,-.39,-.49,-.42,-.47,-.57,-.52,-.62,-.38,-.08,-.33,-.47,-.49,-.64,-.43,-.52,-.36
1905,-.41,-.81,-.23,-.45,-.28,-.26,-.21,-.23,-.19,-.27,.08,-.16,-.28,-.30,-.52,-.32,-.23,-.12
1906,-.54,-.52,-.18,.05,-.24,-.11,-.25,-.15,-.24,-.17,-.39,.04,-.22,-.24,-.41,-.12,-.17,-.27
1907,-.57,-.70,-.29,-.43,-.58,-.50,-.40,-.37,-.40,-.20,-.56,-.57,-.46,-.41,-.41,-.43,-.42,-.38
1908,-.51,-.25,-.71,-.48,-.29,-.30,-.35,-.56,-.31,-.44,-.61,-.54,-.45,-.45,-.44,-.49,-.40,-.46
1909,-.93,-.47,-.69,-.64,-.48,-.50,-.43,-.34,-.36,-.33,-.13,-.55,-.49,-.49,-.65,-.60,-.42,-.27
1910,-.34,-.36,-.48,-.40,-.29,-.45,-.37,-.40,-.43,-.30,-.57,-.81,-.43,-.41,-.42,-.39,-.41,-.43
1911,-.71,-.59,-.64,-.45,-.44,-.33,-.36,-.43,-.38,-.19,-.20,-.30,-.42,-.46,-.70,-.51,-.37,-.26
1912,-.35,-.16,-.59,-.15,-.11,-.11,-.51,-.76,-.81,-.84,-.50,-.57,-.45,-.43,-.27,-.28,-.46,-.71
1913,-.56,-.64,-.48,-.50,-.54,-.48,-.51,-.45,-.42,-.38,-.14,.11,-.42,-.47,-.59,-.50,-.48,-.31
1914,.18,-.10,-.35,-.38,-.18,-.22,-.33,-.27,-.30,-.01,-.22,-.05,-.19,-.17,.06,-.31,-.28,-.17
1915,-.26,-.09,-.23,.07,-.01,-.12,-.09,-.15,-.21,-.27,-.03,-.26,-.14,-.12,-.13,-.06,-.12,-.17
1916,-.09,-.16,-.39,-.34,-.36,-.50,-.33,-.37,-.49,-.35,-.47,-1.14,-.42,-.34,-.17,-.36,-.40,-.44
1917,-.54,-.69,-.75,-.64,-.73,-.49,-.32,-.40,-.31,-.63,-.32,-1.06,-.57,-.58,-.79,-.71,-.40,-.42
1918,-.69,-.46,-.25,-.58,-.48,-.45,-.34,-.36,-.25,-.04,-.22,-.56,-.39,-.43,-.74,-.44,-.38,-.17
1919,-.38,-.41,-.38,-.23,-.41,-.39,-.33,-.30,-.19,-.09,-.47,-.55,-.34,-.34,-.45,-.34,-.34,-.25
1920,-.14,-.28,.01,-.20,-.21,-.26,-.25,-.32,-.35,-.40,-.45,-.71,-.30,-.28,-.32,-.13,-.28,-.40
1921,.18,-.09,-.11,-.17,-.24,-.15,-.03,-.29,-.18,.00,-.09,-.13,-.11,-.16,-.21,-.17,-.15,-.09
1922,-.37,-.63,-.11,-.15,-.19,-.15,-.28,-.36,-.43,-.32,-.13,-.14,-.27,-.27,-.38,-.15,-.26,-.30
1923,-.18,-.46,-.39,-.52,-.39,-.23,-.29,-.27,-.17,.06,.16,.10,-.22,-.23,-.26,-.43,-.26,.02
1924,-.28,-.21,.03,-.28,-.05,-.18,-.22,-.26,-.22,-.23,.11,-.36,-.18,-.14,-.13,-.10,-.22,-.12
1925,-.28,-.38,-.22,-.15,-.21,-.25,-.24,-.18,-.04,-.08,.22,.23,-.13,-.18,-.34,-.19,-.22,.03
1926,.53,.20,.38,-.11,-.22,-.19,-.18,-.05,-.01,.08,.18,-.28,.03,.07,.32,.02,-.14,.08
1927,-.27,-.08,-.46,-.27,-.12,-.13,-.07,-.16,.03,.25,.11,-.37,-.13,-.12,-.21,-.28,-.12,.13
1928,.27,.09,-.22,-.29,-.16,-.30,-.09,-.18,-.14,-.07,.05,-.03,-.09,-.12,.00,-.23,-.19,-.05
1929,-.56,-.79,-.18,-.34,-.27,-.39,-.35,-.19,-.20,-.01,-.03,-.65,-.33,-.28,-.46,-.26,-.31,-.08
1930,-.11,-.19,.11,-.15,-.19,-.11,-.02,.02,-.02,.02,.44,.08,-.01,-.07,-.32,-.08,-.04,.15
1931,.00,-.24,-.06,-.19,-.14,.15,.08,.09,.17,.36,.26,.09,.05,.05,-.05,-.13,.10,.26
1932,.38,-.19,-.20,.10,-.10,-.14,-.14,-.08,.11,.14,-.32,-.21,-.05,-.03,.10,-.07,-.12,-.02
1933,-.19,-.30,-.31,-.17,-.26,-.31,-.13,-.14,-.28,-.17,-.24,-.54,-.25,-.22,-.23,-.25,-.19,-.23
1934,-.14,.33,-.27,-.29,.08,-.01,-.04,-.10,-.14,.13,.27,.18,.00,-.06,-.12,-.16,-.05,.09
1935,-.40,.56,.03,-.34,-.29,-.15,-.04,-.07,-.05,.12,-.32,-.17,-.09,-.06,.11,-.20,-.09,-.08
1936,-.29,-.50,-.13,-.05,-.01,.04,.08,.03,.06,.07,.14,.15,-.03,-.06,-.32,-.06,.05,.09
1937,.09,.24,-.23,-.07,.13,.15,.15,.16,.28,.33,.24,.00,.12,.14,.16,-.06,.15,.29
1938,.35,.28,.33,.31,.03,-.06,-.02,.08,.14,.32,.31,-.13,.16,.17,.21,.22,.00,.26
1939,.03,-.01,-.24,-.07,.01,.00,.05,.09,.13,.08,.24,.79,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.04,.28,.17,.17,.16,.07,.27,.29,.31,.36,.18,.21,.28,.16,.13,.29
1941,.18,.47,.12,.13,.24,.21,.25,.19,.10,.50,.18,.19,.23,.24,.34,.16,.22,.26
1942,.41,-.08,.00,.09,.17,.11,.00,-.07,.11,.28,.26,.27,.13,.12,.17,.09,.01,.22
1943,-.10,.38,.00,.31,.23,-.07,-.02,.11,.14,.47,.36,.38,.18,.17,.19,.18,.01,.32
1944,.62,.44,.32,.18,.23,.17,.15,.17,.36,.44,.19,-.01,.27,.30,.48,.24,.16,.33
1945,.11,-.06,.09,.29,.08,.08,.06,.28,.20,.24,.09,-.21,.10,.12,.01,.16,.14,.18
1946,.34,.09,.12,.32,.03,-.05,-.04,-.10,-.03,.02,.07,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.04,.28,.23,.06,.00,-.03,-.05,-.01,.40,.19,-.05,.08,.05,-.18,.19,-.03,.19
1948,.30,-.14,-.27,-.02,.17,.05,.01,.03,-.03,.08,.04,-.39,-.02,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.04,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.05,-.07,-.18,-.20,-.09,-.06,-.33,-.12,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.07,.17,-.02,.09,.22,.34,.29,.08,.38,.05,.00,-.33,.02,.10,.24
1952,.17,.17,-.22,.17,.15,.15,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.03,.12,-.03
1953,.24,.37,.25,.41,.24,.25,.21,.18,.17,.27,.09,.22,.24,.22,.21,.30,.22,.17
1954,-.24,.00,-.17,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.42,-.12,-.43,-.24,-.13,-.10,-.05,.06,-.02,.12,-.34,-.29,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.10,-.23,-.25,-.22,-.26,-.23,-.29
